Site,XS,Elev,Q
Elkhead Creek 1,Elkhead Creek 1_XS0,493.64,0.01
Elkhead Creek 1,Elkhead Creek 1_XS0,493.76,0.15
Elkhead Creek 1,Elkhead Creek 1_XS0,493.93,1.04
Elkhead Creek 1,Elkhead Creek 1_XS0,494.12,3
Elkhead Creek 1,Elkhead Creek 1_XS0,494.26,6
Elkhead Creek 1,Elkhead Creek 1_XS0,494.41,11
Elkhead Creek 1,Elkhead Creek 1_XS0,494.58,16.9
Elkhead Creek 1,Elkhead Creek 1_XS0,494.85,30
Elkhead Creek 1,Elkhead Creek 1_XS0,495.14,50
Elkhead Creek 1,Elkhead Creek 1_XS0,495.38,70
Elkhead Creek 1,Elkhead Creek 1_XS0,495.68,100
Elkhead Creek 1,Elkhead Creek 1_XS113.6,493.97,0.01
Elkhead Creek 1,Elkhead Creek 1_XS113.6,494.11,0.15
Elkhead Creek 1,Elkhead Creek 1_XS113.6,494.42,1.04
Elkhead Creek 1,Elkhead Creek 1_XS113.6,494.71,3
Elkhead Creek 1,Elkhead Creek 1_XS113.6,494.94,6
Elkhead Creek 1,Elkhead Creek 1_XS113.6,495.25,11
Elkhead Creek 1,Elkhead Creek 1_XS113.6,495.53,16.9
Elkhead Creek 1,Elkhead Creek 1_XS113.6,496,30
Elkhead Creek 1,Elkhead Creek 1_XS113.6,496.56,50
Elkhead Creek 1,Elkhead Creek 1_XS113.6,497.01,70
Elkhead Creek 1,Elkhead Creek 1_XS113.6,497.63,100
Elkhead Creek 1,Elkhead Creek 1_XS130.7,494.02,0.01
Elkhead Creek 1,Elkhead Creek 1_XS130.7,494.18,0.15
Elkhead Creek 1,Elkhead Creek 1_XS130.7,494.47,1.04
Elkhead Creek 1,Elkhead Creek 1_XS130.7,494.76,3
Elkhead Creek 1,Elkhead Creek 1_XS130.7,495.01,6
Elkhead Creek 1,Elkhead Creek 1_XS130.7,495.33,11
Elkhead Creek 1,Elkhead Creek 1_XS130.7,495.62,16.9
Elkhead Creek 1,Elkhead Creek 1_XS130.7,496.1,30
Elkhead Creek 1,Elkhead Creek 1_XS130.7,496.65,50
Elkhead Creek 1,Elkhead Creek 1_XS130.7,497.14,70
Elkhead Creek 1,Elkhead Creek 1_XS130.7,497.71,100
Elkhead Creek 1,Elkhead Creek 1_XS144.1,494.02,0.01
Elkhead Creek 1,Elkhead Creek 1_XS144.1,494.19,0.15
Elkhead Creek 1,Elkhead Creek 1_XS144.1,494.49,1.04
Elkhead Creek 1,Elkhead Creek 1_XS144.1,494.79,3
Elkhead Creek 1,Elkhead Creek 1_XS144.1,495.06,6
Elkhead Creek 1,Elkhead Creek 1_XS144.1,495.38,11
Elkhead Creek 1,Elkhead Creek 1_XS144.1,495.67,16.9
Elkhead Creek 1,Elkhead Creek 1_XS144.1,496.15,30
Elkhead Creek 1,Elkhead Creek 1_XS144.1,496.71,50
Elkhead Creek 1,Elkhead Creek 1_XS144.1,497.19,70
Elkhead Creek 1,Elkhead Creek 1_XS144.1,497.75,100
Elkhead Creek 1,Elkhead Creek 1_XS154.4,494.02,0.01
Elkhead Creek 1,Elkhead Creek 1_XS154.4,494.19,0.15
Elkhead Creek 1,Elkhead Creek 1_XS154.4,494.5,1.04
Elkhead Creek 1,Elkhead Creek 1_XS154.4,494.81,3
Elkhead Creek 1,Elkhead Creek 1_XS154.4,495.09,6
Elkhead Creek 1,Elkhead Creek 1_XS154.4,495.42,11
Elkhead Creek 1,Elkhead Creek 1_XS154.4,495.72,16.9
Elkhead Creek 1,Elkhead Creek 1_XS154.4,496.22,30
Elkhead Creek 1,Elkhead Creek 1_XS154.4,496.79,50
Elkhead Creek 1,Elkhead Creek 1_XS154.4,497.26,70
Elkhead Creek 1,Elkhead Creek 1_XS154.4,497.83,100
Elkhead Creek 1,Elkhead Creek 1_XS21.9,493.84,0.01
Elkhead Creek 1,Elkhead Creek 1_XS21.9,493.9,0.15
Elkhead Creek 1,Elkhead Creek 1_XS21.9,494.13,1.04
Elkhead Creek 1,Elkhead Creek 1_XS21.9,494.35,3
Elkhead Creek 1,Elkhead Creek 1_XS21.9,494.52,6
Elkhead Creek 1,Elkhead Creek 1_XS21.9,494.72,11
Elkhead Creek 1,Elkhead Creek 1_XS21.9,494.88,16.9
Elkhead Creek 1,Elkhead Creek 1_XS21.9,495.16,30
Elkhead Creek 1,Elkhead Creek 1_XS21.9,495.47,50
Elkhead Creek 1,Elkhead Creek 1_XS21.9,495.71,70
Elkhead Creek 1,Elkhead Creek 1_XS21.9,496.03,100
Elkhead Creek 1,Elkhead Creek 1_XS38.9,493.9,0.01
Elkhead Creek 1,Elkhead Creek 1_XS38.9,494.07,0.15
Elkhead Creek 1,Elkhead Creek 1_XS38.9,494.27,1.04
Elkhead Creek 1,Elkhead Creek 1_XS38.9,494.48,3
Elkhead Creek 1,Elkhead Creek 1_XS38.9,494.65,6
Elkhead Creek 1,Elkhead Creek 1_XS38.9,494.84,11
Elkhead Creek 1,Elkhead Creek 1_XS38.9,495.01,16.9
Elkhead Creek 1,Elkhead Creek 1_XS38.9,495.3,30
Elkhead Creek 1,Elkhead Creek 1_XS38.9,495.6,50
Elkhead Creek 1,Elkhead Creek 1_XS38.9,495.83,70
Elkhead Creek 1,Elkhead Creek 1_XS38.9,496.14,100
Elkhead Creek 1,Elkhead Creek 1_XS50.5,493.91,0.01
Elkhead Creek 1,Elkhead Creek 1_XS50.5,494.09,0.15
Elkhead Creek 1,Elkhead Creek 1_XS50.5,494.34,1.04
Elkhead Creek 1,Elkhead Creek 1_XS50.5,494.55,3
Elkhead Creek 1,Elkhead Creek 1_XS50.5,494.74,6
Elkhead Creek 1,Elkhead Creek 1_XS50.5,494.96,11
Elkhead Creek 1,Elkhead Creek 1_XS50.5,495.15,16.9
Elkhead Creek 1,Elkhead Creek 1_XS50.5,495.46,30
Elkhead Creek 1,Elkhead Creek 1_XS50.5,495.76,50
Elkhead Creek 1,Elkhead Creek 1_XS50.5,495.96,70
Elkhead Creek 1,Elkhead Creek 1_XS50.5,496.37,100
Elkhead Creek 1,Elkhead Creek 1_XS59,493.91,0.01
Elkhead Creek 1,Elkhead Creek 1_XS59,494.1,0.15
Elkhead Creek 1,Elkhead Creek 1_XS59,494.36,1.04
Elkhead Creek 1,Elkhead Creek 1_XS59,494.58,3
Elkhead Creek 1,Elkhead Creek 1_XS59,494.78,6
Elkhead Creek 1,Elkhead Creek 1_XS59,495.01,11
Elkhead Creek 1,Elkhead Creek 1_XS59,495.21,16.9
Elkhead Creek 1,Elkhead Creek 1_XS59,495.53,30
Elkhead Creek 1,Elkhead Creek 1_XS59,495.87,50
Elkhead Creek 1,Elkhead Creek 1_XS59,496.13,70
Elkhead Creek 1,Elkhead Creek 1_XS59,496.56,100
Elkhead Creek 1,Elkhead Creek 1_XS64.9,493.91,0.01
Elkhead Creek 1,Elkhead Creek 1_XS64.9,494.11,0.15
Elkhead Creek 1,Elkhead Creek 1_XS64.9,494.38,1.04
Elkhead Creek 1,Elkhead Creek 1_XS64.9,494.62,3
Elkhead Creek 1,Elkhead Creek 1_XS64.9,494.84,6
Elkhead Creek 1,Elkhead Creek 1_XS64.9,495.11,11
Elkhead Creek 1,Elkhead Creek 1_XS64.9,495.34,16.9
Elkhead Creek 1,Elkhead Creek 1_XS64.9,495.74,30
Elkhead Creek 1,Elkhead Creek 1_XS64.9,496.2,50
Elkhead Creek 1,Elkhead Creek 1_XS64.9,496.6,70
Elkhead Creek 1,Elkhead Creek 1_XS64.9,497.07,100
Elkhead Creek 1,Elkhead Creek 1_XS86.9,493.91,0.01
Elkhead Creek 1,Elkhead Creek 1_XS86.9,494.11,0.15
Elkhead Creek 1,Elkhead Creek 1_XS86.9,494.4,1.04
Elkhead Creek 1,Elkhead Creek 1_XS86.9,494.67,3
Elkhead Creek 1,Elkhead Creek 1_XS86.9,494.91,6
Elkhead Creek 1,Elkhead Creek 1_XS86.9,495.2,11
Elkhead Creek 1,Elkhead Creek 1_XS86.9,495.46,16.9
Elkhead Creek 1,Elkhead Creek 1_XS86.9,495.9,30
Elkhead Creek 1,Elkhead Creek 1_XS86.9,496.39,50
Elkhead Creek 1,Elkhead Creek 1_XS86.9,496.83,70
Elkhead Creek 1,Elkhead Creek 1_XS86.9,497.37,100
Elkhead Creek 1,Elkhead Creek 1_XS9.4,493.65,0.01
Elkhead Creek 1,Elkhead Creek 1_XS9.4,493.8,0.15
Elkhead Creek 1,Elkhead Creek 1_XS9.4,494.03,1.04
Elkhead Creek 1,Elkhead Creek 1_XS9.4,494.23,3
Elkhead Creek 1,Elkhead Creek 1_XS9.4,494.37,6
Elkhead Creek 1,Elkhead Creek 1_XS9.4,494.56,11
Elkhead Creek 1,Elkhead Creek 1_XS9.4,494.75,16.9
Elkhead Creek 1,Elkhead Creek 1_XS9.4,495.05,30
Elkhead Creek 1,Elkhead Creek 1_XS9.4,495.34,50
Elkhead Creek 1,Elkhead Creek 1_XS9.4,495.56,70
Elkhead Creek 1,Elkhead Creek 1_XS9.4,495.82,100
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.07,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.24,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.4,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.5,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.62,3
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.67,6
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.69,11
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.74,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL0,490.87,30
Elkhead Creek 2,Elkhead Creek 2_XSL0,491.02,50
Elkhead Creek 2,Elkhead Creek 2_XSL0,491.1,70
Elkhead Creek 2,Elkhead Creek 2_XSL0,491.51,140
Elkhead Creek 2,Elkhead Creek 2_XSL0,492.05,300
Elkhead Creek 2,Elkhead Creek 2_XSL0,492.57,500
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,492.59,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,492.69,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,492.84,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,492.92,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.07,3
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.19,6
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.26,11
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.29,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.38,30
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.52,50
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.61,70
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,493.73,140
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,494.26,300
Elkhead Creek 2,Elkhead Creek 2_XSL104.4,494.78,500
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,492.69,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,492.86,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,492.96,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.06,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.23,3
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.36,6
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.44,11
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.5,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.61,30
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.75,50
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,493.86,70
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,494.05,140
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,494.56,300
Elkhead Creek 2,Elkhead Creek 2_XSL116.8,495.05,500
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.36,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.53,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.68,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.77,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.88,3
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.93,6
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,490.97,11
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,491.02,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,491.16,30
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,491.32,50
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,491.42,70
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,491.79,140
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,492.34,300
Elkhead Creek 2,Elkhead Creek 2_XSL16.8,492.87,500
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,490.47,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,490.63,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,490.79,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,490.88,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,490.98,3
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.03,6
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.05,11
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.06,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.2,30
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.38,50
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.47,70
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,491.88,140
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,492.36,300
Elkhead Creek 2,Elkhead Creek 2_XSL22.5,492.83,500
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,490.91,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,490.98,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.09,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.17,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.34,3
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.48,6
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.57,11
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.65,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,491.83,30
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,492.06,50
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,492.19,70
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,492.44,140
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,493.02,300
Elkhead Creek 2,Elkhead Creek 2_XSL36.4,493.54,500
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.02,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.06,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.21,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.31,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.49,3
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.64,6
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.71,11
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.82,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL52,491.94,30
Elkhead Creek 2,Elkhead Creek 2_XSL52,492.11,50
Elkhead Creek 2,Elkhead Creek 2_XSL52,492.2,70
Elkhead Creek 2,Elkhead Creek 2_XSL52,492.76,140
Elkhead Creek 2,Elkhead Creek 2_XSL52,493.35,300
Elkhead Creek 2,Elkhead Creek 2_XSL52,493.91,500
Elkhead Creek 2,Elkhead Creek 2_XSL71,491.74,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL71,491.91,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.06,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.15,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.25,3
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.29,6
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.35,11
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.45,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.59,30
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.7,50
Elkhead Creek 2,Elkhead Creek 2_XSL71,492.79,70
Elkhead Creek 2,Elkhead Creek 2_XSL71,493.18,140
Elkhead Creek 2,Elkhead Creek 2_XSL71,493.73,300
Elkhead Creek 2,Elkhead Creek 2_XSL71,494.26,500
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.24,0.01
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.43,0.12
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.56,0.48
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.65,1.04
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.76,3
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.8,6
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.85,11
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,490.91,16.9
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,491.04,30
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,491.18,50
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,491.25,70
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,491.64,140
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,492.18,300
Elkhead Creek 2,Elkhead Creek 2_XSL8.5,492.7,500
Elkhead Creek 2,Elkhead Creek 2_XSR0,489.74,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR0,489.91,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.09,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.19,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.39,3
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.54,6
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.65,11
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.75,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR0,490.88,30
Elkhead Creek 2,Elkhead Creek 2_XSR0,491.03,50
Elkhead Creek 2,Elkhead Creek 2_XSR0,491.16,70
Elkhead Creek 2,Elkhead Creek 2_XSR0,491.51,140
Elkhead Creek 2,Elkhead Creek 2_XSR0,492.05,300
Elkhead Creek 2,Elkhead Creek 2_XSR0,492.57,500
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.1,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.23,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.33,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.52,3
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.77,6
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,490.96,11
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,491.08,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,491.22,30
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,491.38,50
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,491.51,70
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,491.79,140
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,492.34,300
Elkhead Creek 2,Elkhead Creek 2_XSR16.3,492.87,500
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.36,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.44,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.52,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.55,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.55,3
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,490.82,6
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.06,11
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.16,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.4,30
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.6,50
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.73,70
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,491.88,140
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,492.36,300
Elkhead Creek 2,Elkhead Creek 2_XSR27.5,492.83,500
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,490.69,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,490.8,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,490.96,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.07,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.26,3
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.41,6
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.55,11
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.63,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,491.78,30
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,492,50
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,492.14,70
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,492.44,140
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,493.02,300
Elkhead Creek 2,Elkhead Creek 2_XSR41.8,493.54,500
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,489.82,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,489.97,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.14,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.25,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.49,3
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.72,6
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.88,11
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,490.98,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,491.1,30
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,491.25,50
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,491.38,70
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,491.64,140
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,492.18,300
Elkhead Creek 2,Elkhead Creek 2_XSR5.1,492.7,500
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.16,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.27,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.39,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.46,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.6,3
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.7,6
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.8,11
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,491.94,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,492.24,30
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,492.37,50
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,492.48,70
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,492.76,140
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,493.35,300
Elkhead Creek 2,Elkhead Creek 2_XSR52.6,493.91,500
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,491.42,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,491.58,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,491.76,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,491.9,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.16,3
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.29,6
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.4,11
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.48,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.61,30
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.77,50
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,492.83,70
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,493.18,140
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,493.73,300
Elkhead Creek 2,Elkhead Creek 2_XSR69.3,494.26,500
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,491.9,0.01
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.03,0.12
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.21,0.48
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.35,1.04
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.56,3
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.66,6
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.76,11
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,492.82,16.9
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,493.2,30
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,493.34,50
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,493.44,70
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,493.73,140
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,494.26,300
Elkhead Creek 2,Elkhead Creek 2_XSR92.7,494.78,500
Elkhead Creek 2,Elkhead Creek 2_XSUP0,492.76,0.01
Elkhead Creek 2,Elkhead Creek 2_XSUP0,492.94,0.12
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.08,0.49
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.27,1.04
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.41,3
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.53,6
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.67,11
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.8,16.9
Elkhead Creek 2,Elkhead Creek 2_XSUP0,493.89,30
Elkhead Creek 2,Elkhead Creek 2_XSUP0,494.05,50
Elkhead Creek 2,Elkhead Creek 2_XSUP0,494.21,70
Elkhead Creek 2,Elkhead Creek 2_XSUP0,494.78,140
Elkhead Creek 2,Elkhead Creek 2_XSUP0,495.78,300
Elkhead Creek 2,Elkhead Creek 2_XSUP0,496.7,500
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.21,0.01
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.29,0.12
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.39,0.49
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.46,1.04
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.66,3
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,493.85,6
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,494.04,11
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,494.19,16.9
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,494.44,30
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,494.77,50
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,495.09,70
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,495.73,140
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,496.77,300
Elkhead Creek 2,Elkhead Creek 2_XSUP11.3,498.16,500
Elkhead Creek 2,Elkhead Creek 2_XSUP17.3,493.24,0.01
